Timestamp,Sensor,Variable,Value
"2015-07-23 18:46:53",SDcard,INFO,0086.csv
"2015-07-23 18:46:59",Arduino,voltage,3751.0000
"2015-07-23 18:46:59",DHT22,humidity,1.0000
"2015-07-23 18:46:59",DHT22,temperature,32.2000
"2015-07-23 18:46:59",Sharp,dust,0.0000
"2015-07-23 18:46:59",Mux,channel_00,562.0000
"2015-07-23 18:46:59",Mux,channel_01,63.0000
"2015-07-23 18:46:59",Mux,channel_02,17.0000
"2015-07-23 18:46:59",Mux,channel_03,0.0000
"2015-07-23 18:46:59",Mux,channel_04,629.0000
"2015-07-23 18:46:59",Mux,channel_05,508.0000
"2015-07-23 18:47:00",Mux,channel_06,603.0000
"2015-07-23 18:47:00",Mux,channel_07,294.0000
"2015-07-23 18:47:00",Mux,channel_08,145.0000
"2015-07-23 18:47:00",Mux,channel_09,8.0000
"2015-07-23 18:47:00",Mux,channel_10,74.0000
"2015-07-23 18:47:00",Mux,channel_11,208.0000
"2015-07-23 18:47:00",Mux,channel_12,0.0000
"2015-07-23 18:47:00",Mux,channel_13,0.0000
"2015-07-23 18:47:00",Mux,channel_14,456.0000
"2015-07-23 18:47:00",Mux,channel_15,384.0000
