Timestamp,Sensor,Variable,Value
"2015-07-22 21:27:48",SDcard,INFO,0084.csv
"2015-07-22 21:27:53",Arduino,voltage,4092.0000
"2015-07-22 21:27:54",DHT22,humidity,12.3000
"2015-07-22 21:27:54",DHT22,temperature,27.0000
"2015-07-22 21:27:54",Sharp,dust,438.0000
"2015-07-22 21:27:54",Mux,channel_00,981.0000
"2015-07-22 21:27:54",Mux,channel_01,616.0000
"2015-07-22 21:27:54",Mux,channel_02,910.0000
"2015-07-22 21:27:54",Mux,channel_03,23.0000
"2015-07-22 21:27:54",Mux,channel_04,773.0000
"2015-07-22 21:27:54",Mux,channel_05,632.0000
"2015-07-22 21:27:54",Mux,channel_06,685.0000
"2015-07-22 21:27:54",Mux,channel_07,997.0000
"2015-07-22 21:27:54",Mux,channel_08,987.0000
"2015-07-22 21:27:54",Mux,channel_09,959.0000
"2015-07-22 21:27:54",Mux,channel_10,812.0000
"2015-07-22 21:27:54",Mux,channel_11,722.0000
"2015-07-22 21:27:54",Mux,channel_12,22.0000
"2015-07-22 21:27:54",Mux,channel_13,22.0000
"2015-07-22 21:27:55",Mux,channel_14,366.0000
"2015-07-22 21:27:55",Mux,channel_15,214.0000
"2015-07-22 21:28:00",Arduino,voltage,4092.0000
"2015-07-22 21:28:00",DHT22,humidity,12.5000
"2015-07-22 21:28:00",DHT22,temperature,27.0000
"2015-07-22 21:28:00",Sharp,dust,78.0000
"2015-07-22 21:28:00",Mux,channel_00,974.0000
"2015-07-22 21:28:00",Mux,channel_01,550.0000
"2015-07-22 21:28:00",Mux,channel_02,865.0000
"2015-07-22 21:28:00",Mux,channel_03,23.0000
"2015-07-22 21:28:00",Mux,channel_04,769.0000
"2015-07-22 21:28:01",Mux,channel_05,613.0000
"2015-07-22 21:28:01",Mux,channel_06,668.0000
"2015-07-22 21:28:01",Mux,channel_07,997.0000
"2015-07-22 21:28:01",Mux,channel_08,981.0000
"2015-07-22 21:28:01",Mux,channel_09,943.0000
"2015-07-22 21:28:01",Mux,channel_10,764.0000
"2015-07-22 21:28:01",Mux,channel_11,746.0000
"2015-07-22 21:28:01",Mux,channel_12,21.0000
"2015-07-22 21:28:01",Mux,channel_13,21.0000
"2015-07-22 21:28:01",Mux,channel_14,367.0000
"2015-07-22 21:28:01",Mux,channel_15,214.0000
"2015-07-22 21:28:06",Arduino,voltage,4077.0000
"2015-07-22 21:28:07",DHT22,humidity,12.4000
"2015-07-22 21:28:07",DHT22,temperature,27.0000
"2015-07-22 21:28:07",Sharp,dust,26.0000
"2015-07-22 21:28:07",Mux,channel_00,968.0000
"2015-07-22 21:28:07",Mux,channel_01,507.0000
"2015-07-22 21:28:07",Mux,channel_02,822.0000
"2015-07-22 21:28:07",Mux,channel_03,23.0000
"2015-07-22 21:28:07",Mux,channel_04,763.0000
"2015-07-22 21:28:07",Mux,channel_05,603.0000
"2015-07-22 21:28:07",Mux,channel_06,654.0000
"2015-07-22 21:28:07",Mux,channel_07,997.0000
"2015-07-22 21:28:07",Mux,channel_08,975.0000
"2015-07-22 21:28:07",Mux,channel_09,918.0000
"2015-07-22 21:28:07",Mux,channel_10,721.0000
"2015-07-22 21:28:07",Mux,channel_11,768.0000
"2015-07-22 21:28:07",Mux,channel_12,22.0000
"2015-07-22 21:28:07",Mux,channel_13,22.0000
"2015-07-22 21:28:07",Mux,channel_14,367.0000
"2015-07-22 21:28:07",Mux,channel_15,214.0000
