Timestamp,Sensor,Variable,Value
"2015-07-21 16:23:55",SDcard,INFO,0081.csv
"2015-07-21 16:24:00",Arduino,voltage,3726.0000
"2015-07-21 16:24:00",DHT22,humidity,14.3000
"2015-07-21 16:24:00",DHT22,temperature,24.4000
"2015-07-21 16:24:00",Sharp,dust,0.0000
"2015-07-21 16:24:00",Mux,channel_00,938.0000
"2015-07-21 16:24:00",Mux,channel_01,412.0000
"2015-07-21 16:24:00",Mux,channel_02,347.0000
"2015-07-21 16:24:01",Mux,channel_03,0.0000
"2015-07-21 16:24:01",Mux,channel_04,744.0000
"2015-07-21 16:24:01",Mux,channel_05,670.0000
"2015-07-21 16:24:01",Mux,channel_06,729.0000
"2015-07-21 16:24:01",Mux,channel_07,706.0000
"2015-07-21 16:24:01",Mux,channel_08,804.0000
"2015-07-21 16:24:01",Mux,channel_09,419.0000
"2015-07-21 16:24:01",Mux,channel_10,893.0000
"2015-07-21 16:24:01",Mux,channel_11,419.0000
"2015-07-21 16:24:01",Mux,channel_12,0.0000
"2015-07-21 16:24:01",Mux,channel_13,0.0000
"2015-07-21 16:24:01",Mux,channel_14,370.0000
"2015-07-21 16:24:01",Mux,channel_15,205.0000
"2015-07-21 16:24:07",Arduino,voltage,3726.0000
"2015-07-21 16:24:07",DHT22,humidity,14.7000
"2015-07-21 16:24:07",DHT22,temperature,24.4000
"2015-07-21 16:24:07",Sharp,dust,0.0000
"2015-07-21 16:24:07",Mux,channel_00,934.0000
"2015-07-21 16:24:07",Mux,channel_01,368.0000
"2015-07-21 16:24:07",Mux,channel_02,689.0000
"2015-07-21 16:24:08",Mux,channel_03,0.0000
"2015-07-21 16:24:08",Mux,channel_04,739.0000
"2015-07-21 16:24:08",Mux,channel_05,596.0000
"2015-07-21 16:24:08",Mux,channel_06,655.0000
"2015-07-21 16:24:08",Mux,channel_07,939.0000
"2015-07-21 16:24:08",Mux,channel_08,931.0000
"2015-07-21 16:24:08",Mux,channel_09,801.0000
"2015-07-21 16:24:08",Mux,channel_10,846.0000
"2015-07-21 16:24:08",Mux,channel_11,463.0000
"2015-07-21 16:24:08",Mux,channel_12,0.0000
"2015-07-21 16:24:08",Mux,channel_13,0.0000
"2015-07-21 16:24:08",Mux,channel_14,372.0000
"2015-07-21 16:24:08",Mux,channel_15,206.0000
"2015-07-21 16:24:14",Arduino,voltage,3701.0000
"2015-07-21 16:24:14",DHT22,ERROR,failed to read
"2015-07-21 16:24:14",Sharp,dust,0.0000
"2015-07-21 16:24:14",Mux,channel_00,918.0000
"2015-07-21 16:24:14",Mux,channel_01,322.0000
"2015-07-21 16:24:14",Mux,channel_02,657.0000
"2015-07-21 16:24:14",Mux,channel_03,0.0000
"2015-07-21 16:24:14",Mux,channel_04,733.0000
"2015-07-21 16:24:14",Mux,channel_05,569.0000
"2015-07-21 16:24:14",Mux,channel_06,625.0000
"2015-07-21 16:24:14",Mux,channel_07,954.0000
"2015-07-21 16:24:14",Mux,channel_08,926.0000
"2015-07-21 16:24:14",Mux,channel_09,821.0000
"2015-07-21 16:24:15",Mux,channel_10,809.0000
"2015-07-21 16:24:15",Mux,channel_11,480.0000
"2015-07-21 16:24:15",Mux,channel_12,0.0000
"2015-07-21 16:24:15",Mux,channel_13,0.0000
"2015-07-21 16:24:15",Mux,channel_14,372.0000
"2015-07-21 16:24:15",Mux,channel_15,207.0000
"2015-07-21 16:24:20",Arduino,voltage,3776.0000
"2015-07-21 16:24:21",DHT22,humidity,14.8000
"2015-07-21 16:24:21",DHT22,temperature,24.4000
"2015-07-21 16:24:21",Sharp,dust,0.0000
"2015-07-21 16:24:21",Mux,channel_00,911.0000
"2015-07-21 16:24:21",Mux,channel_01,305.0000
"2015-07-21 16:24:21",Mux,channel_02,616.0000
"2015-07-21 16:24:21",Mux,channel_03,0.0000
"2015-07-21 16:24:21",Mux,channel_04,731.0000
"2015-07-21 16:24:21",Mux,channel_05,554.0000
"2015-07-21 16:24:21",Mux,channel_06,610.0000
"2015-07-21 16:24:21",Mux,channel_07,951.0000
"2015-07-21 16:24:21",Mux,channel_08,917.0000
"2015-07-21 16:24:21",Mux,channel_09,807.0000
"2015-07-21 16:24:21",Mux,channel_10,768.0000
"2015-07-21 16:24:21",Mux,channel_11,505.0000
"2015-07-21 16:24:21",Mux,channel_12,0.0000
"2015-07-21 16:24:21",Mux,channel_13,0.0000
"2015-07-21 16:24:21",Mux,channel_14,367.0000
"2015-07-21 16:24:21",Mux,channel_15,203.0000
"2015-07-21 16:24:26",Sinyei,sampletime_ms,31426.0000
"2015-07-21 16:24:26",Sinyei,low_occupancy_duration_us,3512436.0000
"2015-07-21 16:24:26",Sinyei,occupancy_ratio,11.1768
"2015-07-21 16:24:26",Sinyei,concentration,6873.7329
"2015-07-21 16:24:27",Arduino,voltage,3776.0000
"2015-07-21 16:24:27",DHT22,humidity,14.8000
"2015-07-21 16:24:27",DHT22,temperature,24.4000
"2015-07-21 16:24:27",Sharp,dust,0.0000
"2015-07-21 16:24:27",Mux,channel_00,907.0000
"2015-07-21 16:24:27",Mux,channel_01,294.0000
"2015-07-21 16:24:27",Mux,channel_02,589.0000
"2015-07-21 16:24:27",Mux,channel_03,0.0000
"2015-07-21 16:24:27",Mux,channel_04,732.0000
"2015-07-21 16:24:27",Mux,channel_05,548.0000
"2015-07-21 16:24:27",Mux,channel_06,601.0000
"2015-07-21 16:24:27",Mux,channel_07,947.0000
"2015-07-21 16:24:27",Mux,channel_08,909.0000
"2015-07-21 16:24:27",Mux,channel_09,789.0000
"2015-07-21 16:24:27",Mux,channel_10,736.0000
"2015-07-21 16:24:27",Mux,channel_11,530.0000
"2015-07-21 16:24:27",Mux,channel_12,0.0000
"2015-07-21 16:24:28",Mux,channel_13,0.0000
"2015-07-21 16:24:28",Mux,channel_14,368.0000
"2015-07-21 16:24:28",Mux,channel_15,204.0000
"2015-07-21 16:24:34",Arduino,voltage,3776.0000
"2015-07-21 16:24:35",DHT22,ERROR,failed to read
"2015-07-21 16:24:35",Sharp,dust,0.0000
"2015-07-21 16:24:35",Mux,channel_00,899.0000
"2015-07-21 16:24:35",Mux,channel_01,277.0000
"2015-07-21 16:24:35",Mux,channel_02,557.0000
"2015-07-21 16:24:35",Mux,channel_03,0.0000
"2015-07-21 16:24:35",Mux,channel_04,736.0000
"2015-07-21 16:24:35",Mux,channel_05,544.0000
"2015-07-21 16:24:35",Mux,channel_06,595.0000
"2015-07-21 16:24:35",Mux,channel_07,940.0000
"2015-07-21 16:24:35",Mux,channel_08,898.0000
"2015-07-21 16:24:35",Mux,channel_09,756.0000
"2015-07-21 16:24:35",Mux,channel_10,701.0000
"2015-07-21 16:24:35",Mux,channel_11,560.0000
"2015-07-21 16:24:35",Mux,channel_12,0.0000
"2015-07-21 16:24:35",Mux,channel_13,0.0000
"2015-07-21 16:24:35",Mux,channel_14,373.0000
"2015-07-21 16:24:35",Mux,channel_15,206.0000
"2015-07-21 16:24:41",Arduino,voltage,3788.0000
"2015-07-21 16:24:42",DHT22,humidity,14.7000
"2015-07-21 16:24:42",DHT22,temperature,24.4000
"2015-07-21 16:24:42",Sharp,dust,0.0000
"2015-07-21 16:24:42",Mux,channel_00,893.0000
"2015-07-21 16:24:42",Mux,channel_01,266.0000
"2015-07-21 16:24:42",Mux,channel_02,532.0000
"2015-07-21 16:24:42",Mux,channel_03,0.0000
"2015-07-21 16:24:42",Mux,channel_04,734.0000
"2015-07-21 16:24:42",Mux,channel_05,537.0000
"2015-07-21 16:24:42",Mux,channel_06,586.0000
"2015-07-21 16:24:42",Mux,channel_07,934.0000
"2015-07-21 16:24:42",Mux,channel_08,888.0000
"2015-07-21 16:24:42",Mux,channel_09,732.0000
"2015-07-21 16:24:42",Mux,channel_10,671.0000
"2015-07-21 16:24:42",Mux,channel_11,586.0000
"2015-07-21 16:24:42",Mux,channel_12,0.0000
"2015-07-21 16:24:42",Mux,channel_13,0.0000
